Text,Emotion
c0mplete answrs ni hn. mane or b pucha kch,neutral
Oye Aa v jaa yara Ghur sy phone arhyy hain.!!,trust
Han g ho jati ha but uski Phr aik copy account office dena parti ha,neutral
tm ne dekha to tha jb wo ta idr,neutral
tm kal mere team member hogay in ieee ex-code bhool to nai gaey?,optimism
"mjy to neri amma ny ghar sy nikal dia hy :P,",joy
Project lai du pasiu ka ? Some std selling,neutral
Me to phr pi rha hn,neutral
Hbl sy seedha ja 2 turn lay k andr ja .phr left hoja,neutral
ok mama ny ana tha thori dair tak arai hain ap k ghar,optimism
bs thk h.is lye mane khud pucha. bd ma ye na ho k tu boly k mane kiye thy.,anticipation
i thnk us ka jo dil h wo kray,neutral
Suny m aik bt s0ch rha hn,anticipation
"Yar kushes crta ho .
Agr ho giy to ap ko bata ta ho",anticipation
I hv sent u crash logs. Plz chek and fix it asap. He is waitng yara,trust
My father is very crazy to see you :),joy
Orr yahan ka mess us hostel se better hy kafi,joy
"Yar main smjhe kehny laga hai k saturday on hai,",neutral
"Yar trra msg abhi parha 
Yar mera net bnd hoa hai ...!!!  Due to non payment ....
Abhi mani ko kah dai 
Thori dair mai on ho gia to mai snd kr dn ga....",fear
meri e ma ni ho rahi a ma ho rahi ha.,neutral
Today meeting is at 12. Wslm,optimism
No it's not in our expertise ,sadness
"OK CS main first time Aur software main second time ho jaye ga ,,,",optimism
R Jo ans ata use cf m jis value m ata,neutral
hmm..Telecom isnt my field at all but lemme use my creativity n think.kb tk dena hai? Aur tmne ana kb hai subha? Tmharay khilaf aj allegation lgai gai hai k you lied to me takay chuti krlo.,anticipation
Yar marzi ha tahir sahib ki.,neutral
Yar telha sy meri baat krwa day,trust
"You are invited to a small treat by me on the occasion of Getting Elected CR on Monday Venue will be informed later plz confirm your presence by a text or call. """"Dont bring anyone else""""",joy
Han esi bahany larkiyan b dekhnay ko mil jaye gi,joy
Out kn huva or kis ne kiya.,anticipation
Mis sadia se confirm kr lena,trust
Irsa mera verification code agyaaaa.. Tum b isi wqt check kro. Jldiiii,neutral
Mood ha tera ads wala kaam krny ka? Ye paisay bhi zada dety hain,anticipation
"Oye ate ve laptop ki verificatn k barey me zara office se pta krte ana!,",trust
Wo mint to fzol main zaya ho rhay hain xarr,disgust
"Yr plzz mere liye 2nd row me jaga zaroor rakh lena nd boyz ki taraf wali seat na rakhna plzz! Mje thori si der ho jae gi cx of traffic!,",trust
Salam Sir! no merit list displayed at CIIT website,pessimism
F section bana e ni jis ki pehly 9bjy class thi.. E section ki 1bjy class hoti thi pehly,neutral
Tmhare wallet sy paisy liay hain ma ny ur cell b mery pas ha,neutral
aya tha wo yr tn tb tha nhi to us ka kia kasoor ha.....pych shani sy zra.....aja,trust
Suna ha uni off hai kal,surprise
tjhe dua k lxe blnx ki zaro0rt nh,neutral
R u coming to my office?,neutral
kbi kbi dekh letaa hu dil kry ,neutral
Mujy b 8:15 hu jany hain,neutral
To bta daina tha jani. Me ap ko aisy he zehmat daita rha,sadness
Jb ao g phr e btaun ga na,neutral
Han khty ab nikal ry to aba g ko kangaal krr k e wapis ain na,joy
Yarw mujhay 1 bat samjh nai a rahi tunay ya kuo kia,surprise
I will confirm it in an hour.,optimism
aur kisi ke marks pata chale!??,neutral
waisey aj kal mehran ke kiya price ja rhi hy agr koi second hand mil jay to ?,anticipation
Yar haftay ko subah bjay se pehlay lhr pohanchna he.arfa karim tower jana he  ,optimism
Yr bahir waly ady phar utarna ha ya andhar waley.,trust
Wo khe rhi ha ye muje mili hi nai me ne tume kha bi tha ke milna usy.,disgust
nh yr. sham itni late to aya tha uni sy thaka wa tha. dil nh kiya,sadness
Tu umair ka bta.umer rao rasta per ha or usa apna kch yad nae,neutral
ma ab tk k exprnce k hwly sy bl rha hn. life to pta h bht h,neutral
"Hahahah wo tane thri thy 
but phr b mjy ni smj i 25 dolr ki",joy
Yr kesy h0 skta ha aisyyyy?,neutral
Yr bht tez barish ha ma kesa ata.,disgust
Nai marks awaghera ka ata hai bs ,neutral
"Kar diye hain send main NY,,,",neutral
Nhe ayse koi bt nhe hoe,neutral
r agr tmy prntx force kren to saf kahna prhny dyn,neutral
Wo kisi sy kuch pta chalta h to krty h kuch,trust
Or wha se sida lahore agya tha.,neutral
Shami ko kuch kaha tu na???,fear
Yr time dekh le ge na,neutral
han m ny b yahi socha,anticipation
"Oye mjy ye poem yad a rahi, pta ni ku :P
One two
Buckle my shoe
Three four
Shut the door 
Five six
Pick up sticks
Seven eight 
Lay them straight 
Nine ten
A big fat hen 
:P",joy
Frndz bn ha ha achi dosti ha,joy
Hii kesi o kya o raha hy?,neutral
had ho ggai hy no reply na call mjhy balanve dalwana pary gaa call kr,anger
"Kahain market sy pata krwa lain gy mil jain gy don,t worry ",anticipation
"Pata  nai kal  ho ga  ya nai,,,",pessimism
Ohh haan may nai a sakta,pessimism
Yas star khan ho on krna please,neutral
"Ok thek! Dono k quizes me ab tk jitna parha e cmplt inclded e???,",anticipation
To chup kr k kha lo phr bata dnaa,neutral
"theek.. Allah pak tme sehat de.. 
doc k gai thi raat ??",optimism
Nai teesre wale ko b 3.05 se krna tha,neutral
Pakory tou meri favorte dish ha.,joy
Yar abi tO tHokr py hai yaha sy 30 mint tak free hOna thn ana ha ab khud he dekh ly k kitna time lgta ha,neutral
Yr tm ko kia btaun jb kal  ao gi phr btaun ga ,neutral
"Han add hai, uska b guitar hai",neutral
Menu: light aftari with biryani. Done??,anticipation
Net pa dekh aor bhi interesting hain subjects,joy
Us ka power kae button ko duba kr rakae jab talk WO band nahi ho gaty,neutral
Han sai kya hai yar usny tumhy keh dya bht hai lekin yeh acha nahi lagta ,disgust
Or wifi ups pe ni h,neutral
"Ho jai ga cover my love Aaap tension na lain.,",optimism
acha shoes fre ho gye ha bhala,neutral
Udar se right tora sa agye kar ke.,neutral
Sir plz see Amir LiaQat at this time,neutral
Yhan  wse b koi nhe hta,neutral
Yar bahr na jaa kaha jai ga bahr...kia karai ga ja kai,neutral
Yr laptop ke btery khrb ho gae ha.,disgust
Haha sach kbi kbi mu sa nikal ata ha,joy
"Wasa kuch to chakar ha jo ya 100 ka petrol laga ka uni ja raha ha................!,",anticipation
Is ka matlab wo uder hi hy ,neutral
Tm log chalo park mai arha hun,neutral
"My lhr hostel ho
Subha classes hy mery",neutral
"Good, yar mjay dar lagra , mjay to yaad b ne abi :-(",trust
subha me ne ami k sath bank jana h free ho kr clg chalo ga tery sath ..,optimism
Gandi bachi w8 ni kr skti thi ,disgust
Yr sampling krne ki koshish kr re,neutral
Hahahahahahaha mujhay laga Mujhay pick karnay aa raha hai :'( ,joy
Yr isb b gya ha apply krny,neutral
Mery pas to ni hn yr ic wqt,neutral
Saif yr tm ne load ni krwaya tha us din?,surprise
"Tm ne kaha k just 5 marks,.to maine kaha k 1 mark ki bhi bht value hai",neutral
Gr wale sb tyar ho gy ha.,neutral
Ni tere begair kahin ja skta hu kia,love
Yar mari morning ma duty the wo paper 2 hrs ka tha to apse pucha to main nikal aya tha uni se,neutral
Pakistan ko chahyea k Misbah India ko day day aur hum MS Dhoni pakistan ko day daitay hain:-D:-D:-D Veenod Kambali in Takra:-):-) ,joy
Tume pta ha me ne usy kitna miss kiya . Kafi dino se koi rabta hi nai.,love
Tera admission kha hoa han or konse field ma hoa han,anticipation
"Sorry bro..mere continus lecture the.,n miss nae kr skta tha,thats why nae aa ska",sadness
Ni pta.cr se puch k btaiee,trust
Germany vs pakistan game chal rahey hy,neutral
Han insha btaoo kal ma chala gya tha dost ki trf ,neutral
"Germany, raat tou Holland tha. Aj kya scene hai Phr",surprise
tu aa bd ma phr chly jaen gy,optimism
Hmm okii mai phr kal edit krun ga,optimism
Nahi tm utha do isey awee he akaelha baeta hwa hn.honey.,neutral
Kya kam hai.every thing is ok,fear
Yar mje heart ka masala hai subha me ne cardiology jana hai shayad wo aik din k lye admit kar lain proxy sroxy ka kia scene hai,fear
hahahha....yar reachek ma kush b ni hona...tw mjy pasy da da..ma dua kr dun ga tery lie,joy
Yr mja samaj ni a rae mja fsc kea 3 sal hu gae ha kesa du ga test :D sara fsc ki base par ana ha test.,fear
tu suna kaisy kaisy bhai ko yad kiya,neutral
Itna lazmi q ha mjha bta,surprise
Mery laptop ki window corrupt ho gai hai nai karni hai.!!,optimism
yar ma kya nokar hun os pc ka...ni ma n ab ni krni ap log khud h kr k puch lo,anger
Yar raat say hamara transformer kharab h. Us k chaker mn bizi rahay hn bhae. Abhi jab hostel ain gay to pochon ga,disgust
Mil ge tw bhej do ge,trust
Tre ghr ke bhr khara hn,neutral
Wahan nai jana neelam vally theek hai,optimism
Sir bat hoi hy muneer Bhi sy Tuesday ka kha rhy hy DSP nae hy,neutral
Ni krta hu bt. Phr rat ku tou soo jati ha.,disgust
Yr das v itne dair ho gaye ha.,disgust
Yr bs aisi bt nai hai....,fear
nhi a gya hwa hn room ma e hn yar,neutral
If u got any msg of verification code then kindly forward it to me,trust
"Hn hn ab to yehi boly ga tu :D
Kb ka seen ha!",joy
Nothing ... Gari ho kia hua tha??,neutral
Ilmi waln k pas to nahi thi.,sadness
Ok. You were rude at the first response so don't say that.,disgust
Yar ye log nahi bna k de rhehe.,disgust
"ni ...
abi to unho ne syllabus b btana hy",neutral
Rein diyo ..  Babay nou shakayt ..  Zarori Aay!,neutral
"Yr btao b, my tyar hun ya nahi? ,",disgust
ma bi a raha ho bypheru pounch gya ho,optimism
tu nai gia tha..... :P Imran Shaikh,joy
Main q kru ga mazak janab???,surprise
To phr li8 off ka khan se pata chla,surprise
Ub mila tmara ye he msg bs,neutral
Nai to nahi yrr . Bs mrzi teri,neutral
"Yar aba g jo lge hue thy. Mera genuine masla tha pc ka, wo ulta shuru hogae tu gemen khlta tu movie dkhta islie khrab hogya",anger
"Subha ketnay bajay ana hay univ? Hostel aa jao ge? Ya univ ao man? Time bata dana...
N amna say kuch discuss mat krna... Us nay aaj kaha hay k mujay mat kaho kuch... Batao ge akelay man...soo better not to discuss",anticipation
Kal subha msg kr len. Phir waqt ty kr len gy,trust
Main b blk k samnay hn jatay huay mujay pik kar laina ,trust
Mera msg mila tha ramzan mubarik wala?????,anticipation
"Ejaz what,s up bro g...?? Kal ka kia seen hy .... ",anticipation
Yr bht tez barish ha ma kesa ata.,disgust
Nai yr ma defence ma mamo pas rehta hu turn sub ha so ao ga 11 bja,neutral
Yeh os ka lec hai .. yaa .. networking ka lec ..,neutral
Sir transport dept walay recomendation letter mang rahay han...,neutral
pakistan banny sy phly ki.... :P Tahir Khilji,joy
Paisy hain mary pass tum lhr tk aa jaoo ... Kia khyal hy ?? ,neutral
"Inalilahe wa ina ilahayrajioon..

Yaar rehman k baray bhai zahid butt ka qatal ho gia hai :( ",sadness
Name kya hai madiha Afzal ??,anticipation
Mam bht aala prhati hn yr,joy
chal ab 2nd ke gunjaish ni ,neutral
Yr net kharb hua hai wo thek krwa rhy hain.,neutral
If I had a good time. This is a bit,neutral
Karib m koi housing society ni he?,anticipation
Hye main be khana ha bht dil kar ra ha,love
Yr laptop ke btery khrb ho gae ha.,disgust
khabar naak live he lagta hy i think,neutral
Tm change ho jao gi ???,anticipation
to late ku ho gye train?,neutral
Haan papa ne bola a jao mere sath e ,neutral
Krna ha tofani to bta. Me tjy btata hn phr.,trust
NASHTA ban'ny laga h aja. chkn bna h,neutral
Unhen to milna aur mujhay? :D,anticipation
Hahaha... Dua kr kal ajaon time sa,joy
Ghr hain kabeer logon sy khain ... Writing wala kam strt kr dain ..  ,trust
"R upper c cp k sir bi bht tough hn,",fear
Par us sy phly b fields ati . .  Then ik taraf bhaataa sharif h . . Tay kala ghar aas paas koi bnda ni,neutral
Question mark ka mtlb puchna hota ha,neutral
Mamay mai baaat hai h koiii 8-)  shakir business. Hahahahahahahahahahahahaha,joy
Yar WO abhi perh raha hy.....,neutral
Woh ap sunty ho to me ap ko ko ni na kuch keh skta.,neutral
Nd secondly i didnt think that u might b taking it so srsly,neutral
Faida aarna mai an  fone kr lo maza ro free khabai la hai naaa,neutral
Hahaha lhr ma tym hta ha ap k liye u knw naa,joy
Pory pakistan ka map us mae aey ga,optimism
Jo abi bnai he m chk krn tmri id,trust
Shart b btati hm phly btao mano ge,trust
Dietel nhe chaiye ab q ke 2no mai se aik he chaiye they nd yashavant mill gae hai,neutral
imran ab next wazeer ni ban sakta,pessimism
"Ok dear.bt dats good k tum kal say stay karo meray pas,i cant quit early from col and hina ko meri waja say wait krna parta hay",optimism
yara tera wait kr raha hn aja plz time nhi ha ,trust
Yar wo tu banda 2 ko smestr guzar ly naa tu tjhy sara pta chal jay ga k tnsn h yaa nai atndnc kii.. ,sadness
Yr kch smj ni aa rha...,pessimism
kisi kamal bandy ka set lag rha hai.... :P,joy
Yar 2 banday 60 mar jaye match hamara ha,optimism
hahahahaha   naaai ab me bohat dur nikal chuka hunnn :-P ,disgust
Waqiye? Tu phr eid par kyn nahi agaye :-P,joy
Sibi yar bhir gye hu tu bread laita ai.,trust
Yr ab bhai ke shadi hy,joy
Wo ichra h subho a jaye ga,optimism
"Sir G
Sorry i was busy at Islamabad
Kul karnga baat os se",optimism
Kia mrk8 chal rhi h aaj kal?,anticipation
"Wo to pata tha tm log bs chusse Marne k Kabil ho,",anger
Haha mene kuch bhi nai kaha yar :-P and tmhari personal life me I won't interfere :-P,joy
"Hahaha
Aj to wo news mai b h 
Parliament ki taqreeb host kr ra h :p,",joy
pirr to ho jana cahiaye tha refrance kis ka use kia? ?,anticipation
Inam ki aj b'day b hy us se kaho dinner us n krana hy hum sb ko aaj,joy
Or suna ghar me sb tek ha na.,anticipation
Meri abi class . .  If jna hstl to 1 bjy nb ajanaa,neutral
"Insha Allah karon ga Duaa Bhai k liye,,,",optimism
Me trreray ghar k bhr hu,neutral
"Is k elawa har installment k sath 250 pound aledha jama krwany hoty hain,,,",neutral
Han bhi kaha thak pouncha ha.,neutral
oy ayesha ko kah ewe pic tag na kia kry..ma 4 br kha ha lkn wo hatti h ni,disgust
Pckge ni tra .. Koi ni kal parson hojay ga on,optimism
Yani 10-11 bjai shoro krta hn par thori dair mai karta hn shoro,neutral
Tu ne kaha ke light gai hoi hai,neutral
Hayeee mis faiza mai tu wali hi wali ;-),joy
"Irsa mein is CHACHOOO se bht tang hun :'( :@ >______<
gadha kahin ka.. Gaaliyaan nikal rhi hn munh se :@,",sadness
Shukar hy hmne un k sth thesis nahe krna ,joy
Ok. Sorry agar kia ha. Laken galti se hu gya hu ga . Plz ab muje ap sms ya call na kre.,anger
g kb ka naha b liya or parh b liya,neutral
Mamay mai baaat hai h koiii 8-)  shakir business. Hahahahahahahahahahahahaha,joy
mai degree k bd job sth Ms,optimism
un k mind m pahly bt ti ab ni hai dnt wry,fear
Maine aj ap k sath Jana hai,trust
Yar i think k uni khud sy upload na kre agr students ka data tou individualy nai wo register kra sakte,anticipation
Mere to L lag gye...pta nae kya bn'na hai,fear
Yar ye kis ny bnaya tmko nahi maloom ,neutral
Mangm wale introduction to manggmnt  ya fundamental of mangmnt,neutral
Weka da ki wekhna a?o te bas intro e c,neutral
"to aisa kar clg ja aj ..
Allah ka name le kr ...teri class ke timing kiya h",fear
Electronics and electrical system ka test diya tha ?,anticipation
"Mein is puri story mein ek cheez pe bht heran hui t k haya ne jo oot pataang form fill kiya th sabanji uni k liye, usay prh k jahan jese shakky aadmi ne shak k bjaye muskuranay pe iktafa kiya!! Herat h =-O :D wrna mje to pakka yaqeen th wo ab is k liye b haya ko check krega k kahin wo waqai drink or smoke to nhi krti, huhhh.. Koi baeed b nhi t wese :/ =P",surprise
nhi local to nhi chal ri yar bobtian tk apni e ly k jao,fear
Yar  Maine fee a hi tak Jamaica nahi krai 2000 fine ho gear hai to fine maaf kra sakta hai,neutral
Upar 2nd floor me class me bethe hain,neutral
"Done from everyone. Be at my place asap. Like 7. Cc
Dosto kidgr reh gaey ho",anticipation
First time in life mujy pucit ki credibility par doubt ho rha ha k koi hosh hi nai in ko,surprise
Sara kuch maray pas hi para ha. ,neutral
I Guess ab kal hi.. 8number ko b masla ha,anticipation
Me lec ap ko mail kr diye hain..,neutral
uthy kairi bachi aa gai khai vich.....??? ,surprise
"DR. Turab not taking class today again.. 
 :-D ",joy
I am lonely plz cme I need u very much,trust
"Mes me kia tha?kia paka k rkhyn mama p0ch ri,",trust
Fit fat my ciit ja rhah hoon kisi din tt ka plan binaty han :p,trust
hahahah to galian kio dyvra ha koi zabardasti ha kia,joy
Yaar wo phase kam hvy ghr ky tou jaal gae,anger
Yr kuryan ne ki h0nda a jid0n gari me beth kr falto sh0r krtien hdin phr s0ng e na lgaya kro agr apna sh0r krna hota h,neutral
"Haha, phir jahan kese jaanta k wo fraud t?
Jisay Allah rkhe, usay kon chakhay ;) :P",joy
Nai mera to paper nai hai ,neutral
"Hmmm lets see
Allah behtar kary ga  sb k huq ne...
Mera kul Os ka paper he :(",trust
Yr kb ana hay?mama wait kri hn,anticipation
Usy kahye ga bt kry mjhse jb ay to,trust
Han bs hafeez e dhota he,neutral
"Hi, yaar kl daal chawul ka program final he?",anticipation
Nai yar mje to pta e nai kuch,pessimism
tm ai ni to usy e dy dia tha,neutral
I am late. I will be there at,neutral
UnhO ny kaha tha k wo khud aye ab tu dekh ly,fear
study to bht krta ha per kam choooor ha,disgust
GC ma apply kar dya ha.,neutral
o ja dafa o asy e bkwas kr ra ha ma kia to chekhna ha tn ny,anger
Hahahaha chal chal apne gf sa bat karo :-P ,trust
Plz dont leave bt sun lo,neutral
O han Apka bad ma lagay ga.ap to dair se aye thay.,optimism
Nae rat tk bta dn ge inshALLAH,optimism
"Final sign offs done by Talat sb on 3 findings and none significant findings.
So Rating 1 confirmed
Officially....     
Yeaaaaaaah....:-D ",joy
"Hi sweety , me fine. How r u ?",love
Ghar k champion bahar ja k biq jata ha,disgust
Gae hua the suba ke. Ab ae ha gari pe . Mama ku niche bulaya ha special.,neutral
Uncle se baat kerni thi iss waja se aap k number pe call ker rahay thay,neutral
Me ghar itna rha hi nai. Dada abu ko le kar gya tha. ,sadness
yar kuch ni  pata oficial date tou ni ai koi,neutral
Mama loss her mobile so call me when u arrived,sadness
or aik bt k mane tjhe xe nh bla k tra ksi sy k0i link h ya ni,neutral
G boy ma kafi  dar ka punch gya hu,neutral
Mjy pata tha tm yeh he bat kro ge. Me smja shyad mjy btany ki need ni ho gi. Lkn ni. Jani bs in baton me he rehna. Jani anay walo ko bara bara pata hta ha.,anticipation
Itni jaldi kyn srs hogye main tu mazak kar rahi hon na ,neutral
NASHTA ban'ny laga h aja. chkn bna h,neutral
Mein 10 min tk nikal rha hun.mere gher k kareeb hi hai mall road,optimism
"Lolz dont worry diet behtar karnay sy kam chal jaey ga us time b!!! Mutton, khoya khajoor shake, beef",joy
Main points bta dai bna me lu ga.,trust
to osy kah bhar ja k kara ay...shops bhr abi khuli hn gi...ma ghar hun..bhr ni gya,trust
Ramiz b biq gya ha kehta hs out de do,disgust
Microphone ya speakers mai masla ha tery!,neutral
Matlb k sindh k under ata ha wo area.,neutral
Yr me uni phunch gya hn me aj bike pe nae aya,neutral
Mein uni hun.jab meeting honay wali ho to please inform me,trust
Wapsi aajana islambad paisy ... Eaisy paisy sy aa jain gy kia khyal hy ??  ,anticipation
In Sha Allah zror aon ge,optimism
Gya tha sec. Aj koi update nhi abi ,neutral
"I'm in a meeting, call me later at",neutral
"waisay tjhe pata hai tum log L progam bnate ho,",neutral
Net pa bhot hain ... Search kr tu bhi ma bhi krta hn,optimism
Nehar sa tu lamba hai yar 25 sa uper,disgust
Yar tu ne books le li ha sb.,neutral
Plane ✈ py oth k gye kya,joy
Neelam vally dne karo kabhi nai gae sab ko kya msg abhi dne karo baad mao masla hta,anticipation
nhi ghr hn yr abi to late jana ha kio kia sceen ?,anticipation
Meine passport lene jana hai subha yasir ko keh deta hun,trust
mamu ny b is sunday ana,optimism
May be we should send him a gift,love
Yr ma na b trailer dekha ha achi lag rahi ha,anticipation
Mazak main bhi aesa na kha karey i feel it :-(,sadness
Q kya masks hai tu aa bas mujy nai pata,disgust
ainaak tu bagair photo nai achi andi.... :P :P :P,joy
store py jana tha gr ka samaan lny,neutral
Pata nai mery  aik dost k hain 35.5,neutral
Sis ko cohr k aya ho or dodh la kar.,neutral
Ok I will send it to you in a few minutes.The slides include portions from the given slides aong with lot of additional data collected by me,optimism
Hasso mat yr um woried :-(,sadness
"Mjay smjh ne ara kis k group main jau , to bs iswaja abi kisi group main ne hu",sadness
Yar tu pesy tO pkra jata kisi kO.. :/,disgust
"Yar us ne mail mai likha hai k hm do bnde hain islye paise km kr maine 150 kaha hai manega nae q k kh rha tha dono assignment same hai ar tme kam aik e krna prega diffrent style se to kch nae to main 10000 se neche nae kunga uski tnshn na le
 Is bnde ki ye phli html ki assignment hai ar ye hr br apni ar apne dost ki b krwaega main sari tje dunga bs koshis kri number pure aen",optimism
Zaib sa kh.. Wo kra dy ga.,optimism
Os say bat kr k osi ki tarf janay laga hon 15 m tak,trust
Okay sir already informed also updates at site .... ,neutral
Wo keh to rhe hn k prso aa jaye ga,optimism
"Ramzan me ai this call us ki LST time mar GI phir WO shayad,",sadness
Ghar pay b sab theek Alhamdulillah n Abi b umar jata hy 7 par isi month wo jay ga shyd phr khala ki uni start o jani tw wo aur main 7 aen gay n jaen gy,anticipation
No timetable change yet will be informed soon teacher not decided yet,anticipation
Me also thk . Ar sunae vcations hoi apku?  ,anticipation
Python n nltk nu nai vekhna,neutral
wrna bari tnsn hoti anay jany ki,fear
Tu rehney dey tension na lay ka,fear
Thnks alot also need lots lots prayers ,trust
Yar  Maine fee a hi tak Jamaica nahi krai 2000 fine ho gear hai to fine maaf kra sakta hai,neutral
Han bare sath hu tw zayada mazha nahi ata.,disgust
Pehli assi problem max the n dusri min ki the?,neutral
"Irsa agar homework ha tmharey pas to send me coz Ramsha ki send ki vi PIC ms Kuch b clear nae ho raha mujhey,",trust
Yr 1 ko interview to ni gc ka,fear
Rany kO ya waqar kO dy dna ya phr ma ppr k bad ak ly jaO ga uni sy,trust
q ke zahir cc bat hy us ke carola paise bht khati thi ,disgust
"Tu ussi say pooch loun ga..  
If she feels convenient tu jawab de day otherwise no problem.  Perfectly ok for me",trust
"Hello dear 
How r u?
Kahan hou?",neutral
Yr Minahil na a re name call attend or rr,neutral
Damn yar..aaj baat krne ka itna dil kr raha tha n aaj hi signal prblm,disgust
Pta Nhi. Mujey Topic Wise %Age Ka Nhi Pta.,neutral
"Yar HP ka laptop ziada acha hota hai ya Dell ka,,,",trust
Is number sy Bilal kr subha cal ayi ti,neutral
Mene puch h sub se koi b ni ara ,pessimism
Tmhara kitne marks ka paper hai,neutral
"mera plan change ho gya hai ab 3,4 month baad Insha Allah s3 lo ga",optimism
Okkk krta hu msg bs thora wait,neutral
"EE me ho gya 
CS me waiting",neutral
India walo Chalo Puri Bari lay lo ,neutral
"bus 8 tak ultimate hunting gino 1000 se
kuch nai chawal was gai he
masjid keep bahr
8:30 wali men
yaar wo keh raha tha discount ka",neutral
Gand bohat ha group me wo nikalna ha.,disgust
Yar wo paper k uper he karna tha mid wala b ur final wala b,neutral
Mein pagal ho jaunga tb tk mera dil kr rha hai khusdkushi ker loon,anger
Mere bs clas ka time hone laga ha tm log be jao.3.30 phar ha na cls tm ki.,neutral
Yar me inshallha next week ao ga.,optimism
Yahan ghaltiyan maaf nhi ki jaati,sadness
Marzi ha jis din kehtay ho ma hardisk lay aun ga laptop lay ana jis din tumhara dil ha,neutral
Ne ata ha tha mja jani 3 num pe mja bula lia tha.,love
Wo saudia k sath krty hn?,anticipation
To bnda bta e dyta h phr,disgust
Website btain. Jahan say ap nay apna result dekha tha,trust
han mil jy ga cx pnjb clg waln ko prefr krty han wo,optimism
Dekhlo lekin force mat karna uski marzi hai,neutral
O chacha jb apna profile open kia hota he to jo url hota he wo de ,trust
Yr is ka wifi nai chal raha pta nai kya hwa ha,fear
Han theek hy la kr aaon ge ,optimism
Mdcn tym pe khati hain ky nae ,anticipation
Majid sy mil chuka hun ... Wo kal hajj py ja raha hy mashallah ,joy
Han je kb tak ay ga me w8ing,trust
Yr kise se pouch ke bta sir ne makeup cls lane hai k nahi,trust
hahahahaha   naaai ab me bohat dur nikal chuka hunnn :-P ,disgust
hahahah me tou bhr gai h ni me tou andrr hu...awaxain.hi aa ri bhr se,joy
"Tabh khana khaa raha thaa...aur mobile charge pe thaa..
Phir overlook ho gaee",sadness
Cutie pie ap ko kha lun? :-D,love
chly thk ha mil kr bat krty ha.,optimism
Ye to muje b idea nahi aap pehly poch letay taa k muje b jaldi yaad aa jata :-( ab ma fsd hon or mery pass system etc b nahi,sadness
Tera k0i bhar0sa v nhe naw,fear
Daud be ana hai k nahi phn Kar k poch,trust
Mujy or b bht kam hain tumhary baap ka nokr nai hun jo .... Tumhry chakron mai rhon ,anger
Yr ali sy mila tha to tera pocha tha mainy hahaha dono jutt ikhate ho gy.,joy
tery sath friday ko chalo ga ,optimism
"Yar ap aik kam kr skty ho, cng ki jo s.p ka asgnment page ha wo to pic lay k fb pe mjhe msg krdo",trust
Para hua hay..hani waghera ko nai diya :D,joy
Yar us ki class alada bnani ha.,neutral
Yaar raheel ka intizar kar rahay hain Wo aata hai tab niklay gaien,trust
Waha kya kar raha h lab ma a,neutral
Mje pata tha tm bhool to nai skti,optimism
I'll turn it in reality :p de,optimism
Hehehe gud ha thora samajhnay ke try karo ho jay ga dakhna,joy
ab rona na Allah ka shukr kro,optimism
Han kashf b ready hy.or mvie itni khas ni lgi hui ,sadness
"Maine email ki hain do unke sath description b hai wo parh k bta k kr skta hai jaldi
Pchla kam sae nae tha wo bnda kh rha tha mri assignment submit nae hui mere teacher ne kaha hai k wo chex nae hai jo main puchi

To ye dkh k bta agr sae kr skta hai is bnde ki 12 labs hain",trust
O nahi yr abi tk koi flat nahi mila hy wahan ,sadness
Yr to ne kha to tha k me call krta hn us ko papa ko,neutral
Hahahaha mujhe pta tha tum yahi kaho gy looser,joy
Yr aja phr... Jldi aja zra ta k 11:15 tk hm wapis ghr py hon.,neutral
Yar plan bnaooo combine study ka Xams aa rh. Hain mil k krty hain ... ,trust
Mei tmare se bhi tw krta hun or frirnds se bhi krta hun. You people are not sticky like her.,disgust
Usb ni ha mano. Ab kal dak li.,optimism
Me khud itni txtng ni krta,neutral
hn phly nh the tu b janta h ma b. larai jo h0e the apni,anger
O great jani mubarakaa.. kiya kr raha ha waha se ... ,joy
Yr mara matla body Ko hide Kia kr,neutral
chalo 1 ko fire ker k game end ker dy gy ,anticipation
Yr abi tu aya hn.w8 tu kr na.,anger
Yar aj to ny kia kiia tha to program run hoa tha,sadness
"Mere 61 ain hain 
Admission ho sakta mera ?",anticipation
O menu pta c.ham shekhupura ja rahay hen ,optimism
Medicl store pa khara hn yr.,neutral
Form fil kiya howa ha bs submit karwana ha,neutral
Main gate de naal jerhi first row ae last wali seat te kuj munday ne ma naal valay table te,neutral
My aa k ap ko msg crta ho,optimism
Oye Hafiz aaj acdmy gya hai ??,neutral
Shama pleeeez take care of ur self.,love
yar mosam nhi sai na e nend puri hwi ha daikh lo jana ha to phr,pessimism
Tmhe bht fikar ho rahe uski. Adel bhai ko btaon?,disgust
Han na yr such kah ri hn m,neutral
Ha yaar pata nahi ab ka khata ha,neutral
Yr hxtl ma sab kaam khud karny prty hai..ghr ma tO mama hOti hai na,sadness
Hawn yar dua krun gii sab behtr o jay n teri job lag jay chokas walii :p ,optimism
Plz come out when u r ready. Jazak Allah,neutral
Sir agr ap subah jldi ge tu plz meri b attendnc mark kr Di jiay ga,trust
Sham ko he puncho ga 3 bajy tak,optimism
Me aun wahan ? Ya tm a rhe ho ?,trust
